year,country_code,co2_emissions_kt,co2_emissions_per_capita_tons,renewable_energy_pct,forest_area_pct,green_transition_score,co2_intensity_per_million_gdp
2014,GIN,2240.0,0.2008793853808233,78.5650024414063,26.1476477291226,78.56500244120582,0.2551696454709365
2015,GIN,2540.0,0.2221814792318049,76.2297973632813,26.0011395083835,76.22979736306115,0.2888266464490154
2016,GIN,2830.0,0.2410883768652615,75.2914962768555,25.8383525964512,75.29149627660762,0.3292245955974387
2017,GIN,2970.0,0.2461152734332401,71.9626998901367,25.675565684519,71.9626998899297,0.287660574007025
2018,GIN,3120.0,0.2513232329318498,69.883903503418,25.5127787725867,69.88390350323411,0.263135027190488
2019,GIN,,,,25.3499918606544,,
2020,GIN,,,,25.1872049487221,,
2000,GMB,240.0,0.1821344334253112,62.8585014343262,35.3092885375494,62.85850143413352,0.3065465301331685
2001,GMB,310.0,0.2279294448079878,59.6050987243652,34.7427865612648,59.60509872409639,0.4509689109475704
2002,GMB,300.0,0.2136351951165843,60.5010986328125,34.1762845849802,60.50109863249861,0.5188192741151076
2003,GMB,300.0,0.2069072538234736,61.9206008911133,33.6097826086957,61.9206008907319,0.6159673247547001
2004,GMB,320.0,0.2138288460459037,60.752498626709,33.0432806324111,60.752498626506885,0.3326748772631949
2005,GMB,340.0,0.2202436283194439,61.2159004211426,32.4767786561265,61.21590042094007,0.3308351213094507
2006,GMB,360.0,0.2262096561361882,59.7098007202148,31.9102766798419,59.70980072001088,0.3415192244764201
2007,GMB,400.0,0.2439253442091513,56.7463989257813,31.3437747035573,56.74639892560393,0.3125721004135385
2008,GMB,430.0,0.2545451101292378,55.7657012939453,30.7772727272727,55.76570129379176,0.2753297905456418
2009,GMB,480.0,0.2758181599825774,53.426700592041,30.2107707509881,53.42670059186416,0.3310024357939452
2010,GMB,440.0,0.2453715399127481,56.0000991821289,29.6442687747036,56.00009918196924,0.2851047553432885
2011,GMB,450.0,0.2434877839473373,55.6544990539551,29.0778656126482,55.65449905377744,0.3192180878844058
2012,GMB,460.0,0.2414672811833996,56.355598449707,28.5114624505929,56.3555984495238,0.3250869060614611
2013,GMB,440.0,0.2240658998180992,58.701301574707,27.9450592885375,58.70130157451924,0.3198583420438123
2014,GMB,520.0,0.2569122995281212,52.6796989440918,27.3786561264822,52.679698943868985,0.4229497059012713
2015,GMB,530.0,0.2540918374195775,52.9114990234375,26.8122529644269,52.911499023234015,0.3845660250035485
2016,GMB,530.0,0.2466109605078138,52.7280006408691,26.2450592885375,52.72800064068085,0.3570033649651235
2017,GMB,540.0,0.2439134558923167,52.2061996459961,25.6788537549407,52.206199645808766,0.3588255035362588
2018,GMB,570.0,0.2499899126877336,52.3835983276367,25.1126482213439,52.383598327457975,0.3411803479375942
2019,GMB,,,,24.5454545454545,,
2020,GMB,,,,23.9792490118577,,
2000,GNB,150.0,0.1248642101714385,91.2377014160156,76.4182076813656,91.2377014156468,0.4042086092087036
2001,GNB,150.0,0.1222389282090774,91.2071990966797,76.1178876244666,91.20719909633124,0.3820474517918312
2002,GNB,150.0,0.1195739341578088,91.0367965698242,75.8175675675676,91.03679656949735,0.3590177271441286
2003,GNB,200.0,0.1558485681802419,89.0477981567383,75.5172475106686,89.04779815636529,0.4188844866131896
2004,GNB,210.0,0.1598791618068477,88.5529022216797,75.2169274537696,88.55290222133017,0.3946901563563655
2005,GNB,210.0,0.1561418392467717,88.5268020629883,74.9166073968705,88.5268020626716,0.3577335711239482
2006,GNB,220.0,0.1597001122256243,88.2871017456055,74.6162873399715,88.28710174527761,0.3713922066003808
2007,GNB,230.0,0.1629420245192324,87.904899597168,74.3159672830726,87.90489959687788,0.3300278836208834
2008,GNB,220.0,0.1520454256442579,88.4203033447266,74.0156472261735,88.42030334450254,0.2534110543211854
2009,GNB,230.0,0.154994878430104,87.8946990966797,73.7153271692745,87.89469909643617,0.2770662161919863
2010,GNB,240.0,0.1576248043646308,87.8070983886719,73.4150071123755,87.80709838842394,0.2823933319857794
2011,GNB,250.0,0.1599492257177881,87.8735961914063,73.1147226173542,87.87359619120656,0.2273102020498258
2012,GNB,250.0,0.1557650838234221,87.8130035400391,72.8144381223329,87.81300353981719,0.2527112813052223
2013,GNB,260.0,0.1577421994965597,87.7137985229492,72.5141536273115,87.7137985227312,0.2485451937704743
2014,GNB,280.0,0.1654422952045959,87.2809982299805,72.2138691322902,87.28099822974883,0.2654240661563356
2015,GNB,280.0,0.1611782591251359,87.1517028808594,71.9135846372688,87.1517028806266,0.267117043958034
2016,GNB,300.0,0.1683091772261974,86.7390975952148,71.6134423897582,86.73909759499409,0.2544518597922655
2017,GNB,300.0,0.1641006790486099,86.7991027832031,71.3133001422475,86.79910278301024,0.2221930692485229
2018,GNB,310.0,0.1653947278563135,86.7892990112305,71.0131578947368,86.78929901105168,0.2060307019478402
2019,GNB,,,,70.7130156472262,,
2020,GNB,,,,70.4128733997155,,
2000,GNQ,2350.0,3.876736282952258,45.8460006713867,93.2470588235294,45.846000670356695,2.246657149126863
2001,GNQ,2730.0,4.321931665985923,46.1240005493164,92.9491265597148,46.12400054845462,1.868405373369604
2002,GNQ,4030.0,6.121010711009314,31.308500289917,92.6511942959002,31.308500289218653,2.230533382372829
2003,GNQ,5160.0,7.514526628511512,29.4871997833252,92.3532620320856,29.48719978271285,2.0766710701173827
2004,GNQ,7250.0,10.112295295760228,7.20060014724731,92.0553297682709,7.200600147128953,1.643706043517736
2005,GNQ,8090.0,10.793473750778825,7.1048002243042,91.7573975044563,7.1048002242342525,0.9845000156113068
2006,GNQ,9160.0,11.676316198721723,6.99249982833862,91.4594652406417,6.992499828275118,0.9081419657324644
2007,GNQ,7550.0,9.188424775400822,8.49090003967285,91.1615329768271,8.490900039623808,0.577582806006554
2008,GNQ,8980.0,10.431683508762964,7.19199991226196,90.8636007130125,7.191999912229259,0.4546859953186898
2009,GNQ,9660.0,10.714416435870447,9.18200016021729,90.5656684491979,9.18200016015827,0.6428088677449674
2010,GNQ,9520.0,10.08859310754101,5.71990013122559,90.2677361853832,5.719900131192213,0.583532012076619
2011,GNQ,9710.0,9.839278277285253,5.54670000076294,89.9697682709447,5.546700000737721,0.4546445543333468
2012,GNQ,10010.0,9.707222037430505,4.39050006866455,89.6718003565062,4.39050006864492,0.4471076531860688
2013,GNQ,9350.0,8.686265110385241,3.66230010986328,89.3738324420677,3.662300109847679,0.4259907326426529
2014,GNQ,8090.0,7.208584720473538,4.1774001121521,89.0758645276292,4.1774001121365725,0.3716899421980672
2015,GNQ,7140.0,6.1100057762659645,4.53450012207031,88.7778966131907,4.534500122045755,0.5415040528407387
2016,GNQ,5600.0,4.608366984013081,3.93210005760193,88.4798573975044,3.932100057582341,0.4981847904697352
2017,GNQ,5630.0,4.461144461841763,3.52480006217957,88.1818181818182,3.5248000621633047,0.4614408438455198
2018,GNQ,6670.0,5.095625096450175,4.90469980239868,87.8837789661319,4.904699802373701,0.5092764596644863
2019,GNQ,,,,87.5857397504456,,
